Reference, Value, Footprint, Datasheet
"J1","JACK__MONO_2P_NC","",""
"J4","JACK__MONO_2P_NC","",""
"U1","TL072","",""
"U2","TL072","",""
"RV7","POT","",""
"R1","R","",""
"R3","R","",""
"R2","R","",""
"RV4","POT","",""
"RV1","POT","",""
"J2","JACK__MONO_2P_NC","",""
"RV8","POT","",""
"R4","R","",""
"R6","R","",""
"R5","R","",""
"RV5","POT","",""
"RV2","POT","",""
"J3","JACK__MONO_2P_NC","",""
"RV9","POT","",""
"R7","R","",""
"R9","R","",""
"R8","R","",""
"RV6","POT","",""
"RV3","POT","",""
"R10","R","",""
"R16","R","",""
"R13","R","",""
"SW1","SW_SPDT","",""
"J5","JACK__MONO_2P_NC","",""
"U3","TL072","",""
"R11","R","",""
"R17","R","",""
"R14","R","",""
"SW2","SW_SPDT","",""
"J6","JACK__MONO_2P_NC","",""
"R12","R","",""
"R18","R","",""
"R15","R","",""
"SW3","SW_SPDT","",""
